category_name,category_url,category_id
Baritones,https://www.ebay.com/b/Baritones/179014/bn_2311989,179014
Bugles,https://www.ebay.com/b/Bugles/75557/bn_2309808,75557
Cornets,https://www.ebay.com/b/Cornets/41396/bn_2313327,41396
Euphoniums,https://www.ebay.com/b/Euphoniums/159943/bn_2311253,159943
Flugelhorns,https://www.ebay.com/b/Flugelhorns/64374/bn_2310585,64374
FrenchHorns,https://www.ebay.com/b/French-Horns/16215/bn_2310513,16215
Mellophones,https://www.ebay.com/b/Mellophones/159945/bn_2310349,159945
OtherBrassInstruments,https://www.ebay.com/b/Other-Brass-Instruments/620/bn_7203576,620
Parts_Accessories,https://www.ebay.com/b/Parts-Accessories/182138/bn_16562140,182138
Sousaphones,https://www.ebay.com/b/Sousaphones/159944/bn_2311647,159944
Trombones,https://www.ebay.com/b/Trombones/16216/bn_2311135,16216
Trumpets,https://www.ebay.com/b/Trumpets/16214/bn_2312114,16214
Tubas,https://www.ebay.com/b/Tubas/179015/bn_2311911,179015
SeeallinDJEquipment,https://www.ebay.com/b/DJ-Equipment/48458/bn_16562590,48458
Amplifiers,https://www.ebay.com/b/Amplifiers/69962/bn_115383423,69962
Cables_Leads_Connectors,https://www.ebay.com/b/Cables-Leads-Connectors/69963/bn_115384077,69963
Cases_Racks_Bags,https://www.ebay.com/b/Cases-Racks-Bags/69965/bn_114900718,69965
DigitalVinylSystems_DVS_,https://www.ebay.com/b/Digital-Vinyl-Systems-DVS/182110/bn_16562575,182110
DJ_MonitoringHeadphones,https://www.ebay.com/b/DJ-Monitoring-Headphones/14985/bn_2313770,14985
DJCD_MP3Players,https://www.ebay.com/b/DJ-CD-MP3-Players/91384/bn_16562589,91384
DJControllers,https://www.ebay.com/b/DJ-Controllers/182111/bn_2313749,182111
DJEquipmentPackages,https://www.ebay.com/b/DJ-Equipment-Packages/157158/bn_2311486,157158
DJMixers,https://www.ebay.com/b/DJ-Mixers/19699/bn_2311393,19699
DJTurntableParts_Accs,https://www.ebay.com/b/DJ-Turntable-Parts-Accs/157161/bn_2313296,157161
DJTurntables,https://www.ebay.com/b/DJ-Turntables/48460/bn_2311224,48460
Microphones,https://www.ebay.com/b/Microphones/19656/bn_115383849,19656
OtherDJEquipment,https://www.ebay.com/b/Other-DJ-Equipment/163862/bn_16564563,163862
Speakers_Monitors,https://www.ebay.com/b/Speakers-Monitors/69967/bn_115384245,69967
Stands_Supports,https://www.ebay.com/b/Stands-Supports/175833/bn_115384619,175833
SeeallinEquipment,https://www.ebay.com/b/Musical-Instrument-Equipment/180008/bn_1865421,180008
Clothing_Uniforms,https://www.ebay.com/b/Clothing-Uniforms/106454/bn_2312355,106454
HearingProtection,https://www.ebay.com/b/Hearing-Protection/39179/bn_2310885,39179
Metronomes,https://www.ebay.com/b/Metronomes/41404/bn_2312189,41404
MusicStands,https://www.ebay.com/b/Music-Stands/101555/bn_2310233,101555
OtherMusicalInstrumentEquip,https://www.ebay.com/b/Other-Musical-Instrument-Equip/1288/bn_2310614,1288
Tuners,https://www.ebay.com/b/Tuners/64388/bn_2310743,64388
SeeallinGuitars_Basses,https://www.ebay.com/b/Guitars-Basses/3858/bn_1865236,3858
AcousticElectricGuitars,https://www.ebay.com/b/Acoustic-Electric-Guitars/22966/bn_2312180,22966
AcousticGuitars,https://www.ebay.com/b/Acoustic-Guitars/33021/bn_2311663,33021
BassGuitars,https://www.ebay.com/b/Bass-Guitars/4713/bn_2313818,4713
CigarBoxGuitars,https://www.ebay.com/b/Cigar-Box-Guitars/181221/bn_7203432,181221
ClassicalGuitars,https://www.ebay.com/b/Classical-Guitars/119544/bn_2309659,119544
ElectricGuitars,https://www.ebay.com/b/Electric-Guitars/33034/bn_2312182,33034
GuitarAmplifiers,https://www.ebay.com/b/Guitar-Amplifiers/38072/bn_2309763,38072
GuitarBuilding_LuthierSupplies,https://www.ebay.com/b/Guitar-Building-Luthier-Supplies/47067/bn_2312001,47067
Lap_PedalSteelGuitars,https://www.ebay.com/b/Lap-Pedal-Steel-Guitars/181220/bn_7203501,181220
OtherGuitars,https://www.ebay.com/b/Other-Guitars/621/bn_7203423,621
Parts_Accessories,https://www.ebay.com/b/Parts-Accessories/180009/bn_2311658,180009
Resonators,https://www.ebay.com/b/Resonators/181219/bn_7203581,181219
TravelGuitars,https://www.ebay.com/b/Travel-Guitars/159948/bn_2313661,159948
SeeallinInstructionBooks_CDs_Video,https://www.ebay.com/b/Musical-Instrument-Instruction-Books-CDs-Videos/182150/bn_16563238,182150
Brass,https://www.ebay.com/b/Brass/41778/bn_2310646,41778
Guitar,https://www.ebay.com/b/Guitar/41779/bn_2311292,41779
Keyboard_Piano,https://www.ebay.com/b/Keyboard-Piano/38101/bn_2310758,38101
MusicTheory_EarTraining,https://www.ebay.com/b/Music-Theory-Ear-Training/117051/bn_2313495,117051
OtherMusicInstruction,https://www.ebay.com/b/Other-Music-Instruction/23308/bn_1858738,23308
Percussion,https://www.ebay.com/b/Percussion/41782/bn_2311373,41782
Strings,https://www.ebay.com/b/Strings/38102/bn_2310848,38102
Voice,https://www.ebay.com/b/Voice/159982/bn_2311407,159982
Wind_Woodwinds,https://www.ebay.com/b/Wind-Woodwinds/41788/bn_2311227,41788
SeeallinKaraokeEntertainment,https://www.ebay.com/b/Karaoke-Entertainment-Equipment/175696/bn_1865254,175696
CompleteKaraokeSystems,https://www.ebay.com/b/Complete-Karaoke-Systems/64602/bn_1850576,64602
KaraokeCDGs_DVDs_Media,https://www.ebay.com/b/Karaoke-CDGs-DVDs-Media/64604/bn_1865276,64604
KaraokeMicrophones,https://www.ebay.com/b/Karaoke-Microphones/50590/bn_1851013,50590
KaraokeMixers,https://www.ebay.com/b/Karaoke-Mixers/64605/bn_1851012,64605
OtherKaraokeEntertainment,https://www.ebay.com/b/Other-Karaoke-Entertainment/163828/bn_1853739,163828
Players_Mic_BasedPlayers,https://www.ebay.com/b/Players-Mic-Based-Players/64606/bn_1865397,64606
SeeallinPercussion,https://www.ebay.com/b/Percussion-Instruments/180012/bn_1853035,180012
Cymbals,https://www.ebay.com/b/Cymbals/41441/bn_2311740,41441
Drums,https://www.ebay.com/b/Drums/181227/bn_7518199,181227
