EbayID,Labels
63552,Ebay>Antiques>Furniture>Beds_BedroomSets>Pre_1800
63550,Ebay>Antiques>Furniture>Beds_BedroomSets>1800_1899
63551,Ebay>Antiques>Furniture>Beds_BedroomSets>1900_1950
156308,Ebay>Antiques>Furniture>Beds_BedroomSets>Post_1950
162887,Ebay>Antiques>Furniture>Beds_BedroomSets>Unknown
63554,Ebay>Antiques>Furniture>Benches_Stools>Pre_1800
63555,Ebay>Antiques>Furniture>Benches_Stools>1800_1899
63556,Ebay>Antiques>Furniture>Benches_Stools>1900_1950
156953,Ebay>Antiques>Furniture>Benches_Stools>Post_1950
162888,Ebay>Antiques>Furniture>Benches_Stools>Unknown
63558,Ebay>Antiques>Furniture>Bookcases>Pre_1800
63559,Ebay>Antiques>Furniture>Bookcases>1800_1899
63560,Ebay>Antiques>Furniture>Bookcases>1900_1950
156309,Ebay>Antiques>Furniture>Bookcases>Post_1950
162889,Ebay>Antiques>Furniture>Bookcases>Unknown
63562,Ebay>Antiques>Furniture>Cabinets_Cupboards>Pre_1800
63563,Ebay>Antiques>Furniture>Cabinets_Cupboards>1800_1899
63564,Ebay>Antiques>Furniture>Cabinets_Cupboards>1900_1950
156310,Ebay>Antiques>Furniture>Cabinets_Cupboards>Post_1950
162892,Ebay>Antiques>Furniture>Cabinets_Cupboards>Unknown
63566,Ebay>Antiques>Furniture>Chairs>Pre_1800
63567,Ebay>Antiques>Furniture>Chairs>1800_1899
63568,Ebay>Antiques>Furniture>Chairs>1900_1950
156311,Ebay>Antiques>Furniture>Chairs>Post_1950
162893,Ebay>Antiques>Furniture>Chairs>Unknown
98431,Ebay>Antiques>Furniture>Chests_Trunks>Pre_1800
66842,Ebay>Antiques>Furniture>Chests_Trunks>1800_1899
66854,Ebay>Antiques>Furniture>Chests_Trunks>1900_1950
162890,Ebay>Antiques>Furniture>Chests_Trunks>Post_1950
162891,Ebay>Antiques>Furniture>Chests_Trunks>Unknown
63570,Ebay>Antiques>Furniture>Desks_Secretaries>Pre_1800
63571,Ebay>Antiques>Furniture>Desks_Secretaries>1800_1899
63572,Ebay>Antiques>Furniture>Desks_Secretaries>1900_1950
156312,Ebay>Antiques>Furniture>Desks_Secretaries>Post_1950
162896,Ebay>Antiques>Furniture>Desks_Secretaries>Unknown
63574,Ebay>Antiques>Furniture>DiningSets>Pre_1800
63575,Ebay>Antiques>Furniture>DiningSets>1800_1899
63576,Ebay>Antiques>Furniture>DiningSets>1900_1950
156313,Ebay>Antiques>Furniture>DiningSets>Post_1950
162897,Ebay>Antiques>Furniture>DiningSets>Unknown
63578,Ebay>Antiques>Furniture>Dressers_Vanities>Pre_1800
63579,Ebay>Antiques>Furniture>Dressers_Vanities>1800_1899
63580,Ebay>Antiques>Furniture>Dressers_Vanities>1900_1950
156314,Ebay>Antiques>Furniture>Dressers_Vanities>Post_1950
162898,Ebay>Antiques>Furniture>Dressers_Vanities>Unknown
162900,Ebay>Antiques>Furniture>HallTrees_Stands>Pre_1800
162901,Ebay>Antiques>Furniture>HallTrees_Stands>1800_1899
162902,Ebay>Antiques>Furniture>HallTrees_Stands>1900_1950
162903,Ebay>Antiques>Furniture>HallTrees_Stands>Post_1950
162904,Ebay>Antiques>Furniture>HallTrees_Stands>Unknown
162906,Ebay>Antiques>Furniture>Nightstands>Pre_1800
162907,Ebay>Antiques>Furniture>Nightstands>1800_1899
162908,Ebay>Antiques>Furniture>Nightstands>1900_1950
162909,Ebay>Antiques>Furniture>Nightstands>Post_1950
162910,Ebay>Antiques>Furniture>Nightstands>Unknown
98445,Ebay>Antiques>Furniture>Sideboards_Buffets>Pre_1800
66848,Ebay>Antiques>Furniture>Sideboards_Buffets>1800_1899
66862,Ebay>Antiques>Furniture>Sideboards_Buffets>1900_1950
162914,Ebay>Antiques>Furniture>Sideboards_Buffets>Post_1950
162915,Ebay>Antiques>Furniture>Sideboards_Buffets>Unknown
63582,Ebay>Antiques>Furniture>Sofas_Chaises>Pre_1800
63583,Ebay>Antiques>Furniture>Sofas_Chaises>1800_1899
63584,Ebay>Antiques>Furniture>Sofas_Chaises>1900_1950
156315,Ebay>Antiques>Furniture>Sofas_Chaises>Post_1950
162911,Ebay>Antiques>Furniture>Sofas_Chaises>Unknown
63586,Ebay>Antiques>Furniture>Tables>Pre_1800
63587,Ebay>Antiques>Furniture>Tables>1800_1899
63588,Ebay>Antiques>Furniture>Tables>1900_1950
156316,Ebay>Antiques>Furniture>Tables>Post_1950
162912,Ebay>Antiques>Furniture>Tables>Unknown
162913,Ebay>Antiques>Furniture>Parts_SalvagedPieces
